城市,职业类型,职位名称,工作地址,平均薪资_元,薪资等级,住宿情况,保险情况,招聘紧急度,薪资结算方式,经验要求
shanghai,模特展示,中大龄女装模特无需高颜值,嘉定新城,10000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,普工包装,长白班装卸搬运工月薪过万,真光,9000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,下单员,五角场,9000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,不限工龄包住底薪6000,南翔,9000.0,medium,包住宿,无保险,普通,月结,无经验要求
shanghai,其他职业,奉贤安能8千装卸工,奉城,8750.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,司机,带车司机电话联系,上海,8500.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,懒人小厂招质检300一天包吃住,康桥,8450.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,贴标签300一天岗位轻松包吃住,康桥,8450.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,浦西浦东招有经验缝纫工改衣师…,淮海中路,8300.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,张江碧波路招保洁主管,上海,8100.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,招空调工/锅炉工-需有证,花木,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,公司活动多高薪,杨行,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,模特展示,拼夕夕大龄女装试衣工资OK,西藏北路,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,柔式SPA师-保底3个起,东外滩,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,月1.5w周末双休,罗店,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,月1w良好的人际沟通,闵行,7500.0,low,不包住宿,无保险,普通,月结,有经验要求
shanghai,服务接待,直聘调酒学徒服务员包吃住,陆家嘴,7250.0,low,不包住宿,无保险,普通,月结,有经验要求
shanghai,服务接待,直招服务员包吃住,共康,7250.0,low,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,机械设计工程师,泗泾,7250.0,low,不包住宿,无保险,普通,月结,有经验要求
shanghai,其他职业,普陀财务会计助理,长征,6000.0,low,不包住宿,无保险,普通,月结,有经验要求
shanghai,服务接待,餐饮服务员包吃住电话联系,罗泾,5500.0,low,不包住宿,无保险,普通,月结,有经验要求
shanghai,服务接待,急招5000以上服务员包食宿,北蔡,5500.0,low,包住宿,无保险,急招,月结,有经验要求
shenzhen,其他职业,高级机械结构工程师,宝安区,29000.0,high,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,急聘包吃住美容店长五险一金,福永,22500.0,high,不包住宿,有保险,急招,月结,有经验要求
shenzhen,其他职业,幼教/包吃/周末双休,深圳湾,20000.0,high,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,高薪招美容店长五险包住,蛇口,14000.0,high,包住宿,有保险,普通,月结,有经验要求
shenzhen,按摩理疗,按摩SPA师包吃住不熬夜,皇岗,13500.0,high,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,足浴技师,横岗,12500.0,high,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,98气氛组/500/天可新手…,龙岗,12000.0,high,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,汉服旗袍服装礼仪包食宿,新安,11500.0,medium,包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,单亲家庭聘请阿姨月薪过万,大浪,11300.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,司机,新能源车货运司机,大浪,11000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,司机,私人司机一名（只拿工资）,沙井,11000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,按摩理疗,纯正规K歌足疗店足疗师,大浪,11000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,包吃住美容师保底12k,沙井,10500.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,外卖配送,可提供吃住配车日均50单送餐员,南山中…,10083.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,司机,货运司机/线上接单,龙华,10000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,司机,私人司机一名（纯打工),龙岗,10000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,司机,制衣厂招c1司机,沙井,10000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,小程序开发,深圳,10000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,厂长/副厂长,光明,10000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,免费中医学徒助理,莲塘,9750.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,急招高提成报关业务员,莲塘,9000.0,medium,不包住宿,无保险,急招,月结,有经验要求
shenzhen,其他职业,急招建筑小工240元/天,公明,9000.0,medium,不包住宿,无保险,急招,月结,有经验要求
shenzhen,其他职业,高薪诚聘带货主播+轻松,龙岗,9000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,不用经验+穿普通工衣+车间环…,龙华中…,8250.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,普工包装,坐班普工轻松自在包吃包住,横岗,8250.0,medium,包住宿,无保险,普通,月结,有经验要求
shenzhen,普工包装,随便吃/包装工/食品厂,油松,8250.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,普工包装,不找中介进厂的来30/小时普工,横岗,8250.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,司机,牛奶配送货运司机,沙井,8250.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,普工包装,小厂白班包装五险一金8K,李朗,8250.0,medium,不包住宿,有保险,普通,月结,有经验要求
shenzhen,普工包装,坐着上班｜普工临时工混工时7…,坪地,8150.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,按摩理疗,spa按摩技师无需经验者高薪,龙岗中…,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,推拿师调理亚健康调理师艾灸师,民治,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,亚健康调理推拿师/助理,民治,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,护理育婴,育婴师（周末双休）,后亭,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,家政服务人员（做饭搞卫生）,龙岗,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,1万招聘儿童成长陪伴师,百鸽笼,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,高薪直招家政保洁稳定派单,华强北,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,住家保姆（周末双休）,沙井,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,服务接待,客房服务员包吃住提成高,西乡,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,新店招烘焙学徒不会可教,龙岗,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,按摩理疗,按摩SPA师有无经验均可,东门,8000.0,medium,不包住宿,无保险,普通,月结,无经验要求
shenzhen,其他职业,零基础面包西点学徒包吃住,马安山,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,行政文员,龙岗,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,健身教练,边减脂边工作8k健身学徒包吃住,龙岗,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,游戏主播,沙井,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,按摩理疗,按摩SPA师永久保底包吃住,后海,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,餐饮学徒待遇好,南山中…,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,招聘财务,松岗,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,南山招聘有经验美容顾问,南山区,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
shenzhen,普工包装,小厂普工包吃住可带手机,丹竹头,7865.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,观澜贴标签（220一天白班包…,深圳,7500.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,气氛组队员/来就上班,深圳周边,7500.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,普工包装,小厂包吃住长白班普工不体检坐…,南联,7400.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,普工包装,急招长白班普工包吃住待遇优,龙岗,7300.0,low,不包住宿,无保险,急招,月结,有经验要求
shenzhen,其他职业,有团建活动月8500,横岗,7250.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,模特展示,礼仪服装展示模特,龙华,7000.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,服务接待,酒吧服务员晚班日结包吃住,深圳北站,7000.0,low,不包住宿,无保险,普通,日结,有经验要求
shenzhen,普工包装,深圳比亚迪急招普工24元/时,龙岗,6500.0,low,不包住宿,无保险,急招,月结,有经验要求
shenzhen,普工包装,葵涌比亚迪工厂直招普工250…,葵涌,6500.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,手工面面点师（深圳体校）,大运,6500.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,服务接待,诚聘酒吧服务员,蔡屋围,6500.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,高薪招外贸运营专员,松岗,6500.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,服务接待,酒吧服务员包吃住环境好,清湖,6499.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,公寓酒店前台,西乡,6000.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,服务接待,服务员包吃住4.2k起,宝华,5600.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,服务接待,急聘服务员包吃住待遇好,美丽3…,5500.0,low,不包住宿,无保险,急招,月结,有经验要求
shenzhen,其他职业,急招音乐餐吧前台收银,华强南,5500.0,low,不包住宿,无保险,急招,月结,有经验要求
shenzhen,服务接待,招服务员包食宿待遇优,黄贝岭,5000.0,low,包住宿,无保险,普通,月结,有经验要求
shenzhen,服务接待,服务员包吃住4500保底,平湖,5000.0,low,不包住宿,无保险,普通,月结,有经验要求
shenzhen,其他职业,深圳福田便利店收银员招工,华强北,4810.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,护理育婴,月嫂育婴师高薪,南中环,11500.0,medium,不包住宿,无保险,普通,月结,有经验要求
taiyuan,司机,网约车司机自带车优先,迎泽区,11000.0,medium,不包住宿,无保险,普通,月结,有经验要求
taiyuan,司机,滴滴司机包车可日结,火车站,10000.0,medium,不包住宿,无保险,普通,日结,有经验要求
taiyuan,司机,货运司机B2驾照,尖草坪区,9500.0,medium,不包住宿,无保险,普通,月结,有经验要求
taiyuan,销售营销,销售代表底薪加提成,亲贤街,9000.0,medium,不包住宿,无保险,普通,月结,有经验要求
taiyuan,外卖配送,外卖员-太原市内配送,柳巷,8000.0,medium,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,焊工有证优先,清徐县,7500.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,美容师提成丰厚,府西街,7000.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,快递配送,快递员急招当天上岗,南内环,6500.0,low,不包住宿,无保险,急招,月结,有经验要求
taiyuan,按摩理疗,按摩师学徒可培训,五一路,6500.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,网络主播可兼职,大南门,6500.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,汽车修理工,汽车城,6500.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,装修工人日结算,晋阳街,6000.0,low,不包住宿,无保险,普通,日结,有经验要求
taiyuan,其他职业,家政保洁小时工,长治路,6000.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,销售营销,电话销售无经验可培训,建设路,6000.0,low,不包住宿,无保险,普通,月结,无经验要求
taiyuan,其他职业,水电工维修师傅,杏花岭区,6000.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,普工包装,库房搬运工包食宿,小店区,5500.0,low,包住宿,无保险,普通,月结,有经验要求
taiyuan,普工包装,电子厂普工三班倒,经济开发区,5000.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,厨师学徒包教会,食品街,5000.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,安保安检,保安队长五险一金,万柏林区,4750.0,low,不包住宿,有保险,普通,月结,有经验要求
taiyuan,客服电话,客服代表双休五险,长风街,4500.0,low,不包住宿,有保险,普通,月结,有经验要求
taiyuan,司机,代驾司机时间自由,全太原,4500.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,促销员周末兼职,华宇购物中心,4500.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,服务接待,餐厅服务员包吃住,铜锣湾,4000.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,收银员商场专柜,茂业天地,4000.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,服务接待,前台接待形象佳,南内环,4000.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,安保安检,夜班保安4小时制,太钢,3600.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,超市理货员就近安排,胜利街,3500.0,low,不包住宿,无保险,普通,月结,有经验要求
taiyuan,其他职业,清洁工早班6-10点,高新区,3150.0,low,不包住宿,无保险,普通,月结,有经验要求
